,USER,2022-06_DEMAND,2022-06_ALLOCATIONS_AF,2022-06_PERCENT_ALLOCATION,BASIN,PRIORITY
189,S019911,0,0,100.0,R_12,10000000
190,S019914,0,0,100.0,R_12,10000000
191,S019917,0,0,100.0,R_12,10000000
210,S021081,0,0,100.0,R_12,10000000
211,S021082,0,0,100.0,R_12,10000000
242,S022006,0,0,100.0,R_12,10000000
258,S022512,0,0,100.0,R_12,10000000
270,S023451,0,0,100.0,R_12,10000000
301,S024621,0.002166667,0.002166667,100.0,R_12,10000000
302,S025029,0.305,0.305,100.0,R_12,10000000
351,S027620,0,0,100.0,R_12,10000000
355,S027851,0.125,0.125,100.0,R_12,10000000
0,S002379,0,0,50.2,R_12_MSRR,10000000
5,S008128,1.315,0.660709915,50.2,R_12_MSRR,10000000
8,S011330,0.57,0.28639137,50.2,R_12_MSRR,10000000
9,S011331,0.485,0.243683885,50.2,R_12_MSRR,10000000
39,S014851,3.78,1.89922698,50.2,R_12_MSRR,10000000
41,S014946,4.04,2.02986164,50.2,R_12_MSRR,10000000
50,S015044,2.65,1.33146865,50.2,R_12_MSRR,10000000
69,S015335,0.01,0.00502441,50.2,R_12_MSRR,10000000
124,S016632,0.245,0.123098045,50.2,R_12_MSRR,10000000
125,S016633,0.37,0.18590317,50.2,R_12_MSRR,10000000
192,S023954,0,0,50.2,R_12_MSRR,10000000
193,S023955,0,0,50.2,R_12_MSRR,10000000
204,S024728,0,0,50.2,R_12_MSRR,10000000
214,S028034,1.57,0.78883237,50.2,R_12_MSRR,10000000
52,S014060,0,0,28.0,R_13,10000000
53,S014061,1.23,0.34391907,28.0,R_13,10000000
68,S014922,2.15,0.60115935,28.0,R_13,10000000
141,S017040,0.205,0.057319845,28.0,R_13,10000000
142,S017041,0,0,28.0,R_13,10000000
251,S022407,0,0,28.0,R_13,10000000
252,S022408,0,0,28.0,R_13,10000000
253,S022409,0.145,0.040543305,28.0,R_13,10000000
254,S022410,0.14,0.03914526,28.0,R_13,10000000
255,S022411,0,0,28.0,R_13,10000000
256,S022465,0,0,28.0,R_13,10000000
298,S024481,0.135,0.037747215,28.0,R_13,10000000
306,S026123,0.25,0.06990225,28.0,R_13,10000000
33,S014205,0.000537,0.000269811,50.2,R_13_MSRR,10000000
99,S015952,0.005,0.002512205,50.2,R_13_MSRR,10000000
185,S022886,0.000166667,8.37403E-05,50.2,R_13_MSRR,10000000
